Date,Borough,AllAgeTotalCOunt,AllAgeTotalRatio,Age0to4Count,Age0to4Ratio,Age5to17Count,Age5to17Ratio,Age18to64Count,Age18to64Ratio,Age65plusCount,Age65plusRatio
1/16/06,Queens,60,0.048504446,29,0.341176471,22,0.183333333,9,0.010416667,0,0
1/16/06,Staten Island,4,0.010526316,2,0.068965517,2,0.046511628,0,0,0,0
1/16/06,Unknown,4,0.011363636,0,0,1,0.035714286,3,0.010869565,0,0
1/17/06,Bronx,58,0.02570922,21,0.21875,18,0.06949807,18,0.0116204,1,0.002840909
1/17/06,Brooklyn,54,0.034482759,15,0.174418605,18,0.078947368,21,0.019090909,0,0
1/17/06,Manhattan,41,0.029602888,14,0.291666667,11,0.083333333,15,0.015228426,1,0.004545455
1/17/06,Queens,63,0.04642594,27,0.341772152,25,0.144508671,10,0.010952903,1,0.005208333
1/17/06,Staten Island,7,0.01594533,3,0.107142857,3,0.042253521,1,0.003521127,0,0
1/17/06,Unknown,5,0.014164306,1,0.0625,1,0.038461539,3,0.010791367,0,0
1/18/06,Bronx,75,0.034059946,23,0.164285714,24,0.091954023,27,0.018120805,1,0.003215434
1/18/06,Brooklyn,39,0.026069519,15,0.163043478,13,0.057017544,11,0.010556622,0,0
1/18/06,Manhattan,37,0.029042386,10,0.172413793,10,0.065789474,14,0.015801354,3,0.016853933
1/18/06,Queens,63,0.048875097,27,0.442622951,21,0.128048781,10,0.011111111,5,0.030487805
1/18/06,Staten Island,11,0.02631579,4,0.142857143,4,0.081632653,3,0.011111111,0,0
1/18/06,Unknown,9,0.02631579,5,0.454545455,2,0.105263158,2,0.007272727,0,0
1/19/06,Bronx,61,0.027123166,23,0.172932331,19,0.073359073,19,0.012418301,0,0
1/19/06,Brooklyn,54,0.036339166,15,0.148514852,17,0.087179487,22,0.021072797,0,0
1/19/06,Manhattan,53,0.039201183,21,0.396226415,10,0.06993007,19,0.019895288,3,0.014925373
1/19/06,Queens,51,0.04028436,19,0.28358209,19,0.115853659,10,0.011933174,3,0.015228426
1/19/06,Staten Island,4,0.009456265,4,0.137931035,0,0,0,0,0,0
1/19/06,Unknown,7,0.021276596,1,0.111111111,1,0.041666667,5,0.018796993,0,0
1/20/06,Bronx,67,0.030221019,20,0.148148148,20,0.078125,25,0.016812374,2,0.005899705
1/20/06,Brooklyn,52,0.033854167,21,0.166666667,12,0.059405941,18,0.017159199,1,0.006289308
1/20/06,Manhattan,32,0.024187453,11,0.203703704,9,0.072,9,0.009503696,3,0.015228426
1/20/06,Queens,57,0.04188097,27,0.321428571,16,0.102564103,12,0.013186813,2,0.009478673
1/20/06,Staten Island,7,0.0155902,0,0,3,0.057692308,3,0.010380623,1,0.013888889
1/20/06,Unknown,4,0.010723861,3,0.230769231,0,0,1,0.003355705,0,0
1/21/06,Bronx,79,0.042110874,26,0.222222222,18,0.095744681,31,0.023360965,4,0.016393443
1/21/06,Brooklyn,40,0.030165913,16,0.140350877,12,0.069364162,11,0.012008734,1,0.008130081
1/21/06,Manhattan,41,0.0336894,21,0.396226415,4,0.034482759,15,0.017064846,1,0.00591716
1/21/06,Queens,66,0.0528,32,0.363636364,18,0.13740458,11,0.012731482,5,0.02994012
1/21/06,Staten Island,7,0.020348837,4,0.133333333,2,0.044444444,0,0,1,0.02173913
1/21/06,Unknown,1,0.00295858,0,0,1,0.032258065,0,0,0,0
1/22/06,Bronx,73,0.039121115,30,0.211267606,24,0.12371134,19,0.014751553,0,0
1/22/06,Brooklyn,61,0.050247117,30,0.272727273,17,0.086294416,12,0.014705882,2,0.021978022
1/22/06,Manhattan,53,0.048050771,19,0.316666667,19,0.19,11,0.013530135,4,0.030769231
